-16.579,110.262,-20.2859,-19.4805,186.185,17.3231,-155.455,-80.929,42.6291
148.852,271.68,102.047,153.585,95.7504,-13.2411,-231.175,-52.7018,51.5592
317.713,383.364,16.2179,-173.983,623.397,589.162,517.743,681.24,527.097
726.302,706.508,43.5987,-353.928,1253.31,1230.49,1146.14,1500.76,1096.04
-13.8998,111.699,-20.7806,-21.154,190.25,22.3764,-152.295,-76.2304,46.7876
-19.7512,111.217,-20.5859,-19.2288,182.861,14.6164,-153.956,-82.2699,41.1038
-15.9356,114.352,-20.707,-20.9358,187.494,22.5509,-147.391,-74.7688,47.0445
-19.0052,132.379,-18.6235,-23.3344,154.687,45.8564,-55.9197,-21.2788,63.7998
-16.2056,108.016,-20.383,-19.4035,186.393,15.8509,-158.246,-82.3759,41.4947
-16.7292,109.411,-20.4376,-19.4541,187.029,15.599,-158.934,-82.928,41.7731
-24.4746,128.307,-19.5641,-21.2699,155.313,34.2374,-79.2341,-40.3179,55.0375
-20.3904,130.622,-18.851,-22.4767,153.235,41.6106,-63.0201,-26.8734,61.0043
14.5156,104.268,5.45547,7.67064,79.5385,44.8933,-1.62378,17.2791,48.4785
349.006,392.386,24.8886,-177.368,638.612,626.2,570.401,738.932,554.591
