50.8192,46.2894,44.4619,-23.8524,65.3453,9.76692,-5.53722,-37.5091,260.092
-8.75909,-109.396,-91.2875,-113.078,163.879,89.5417,187.842,27.598,306.765
811.476,-154.203,-141.314,535.907,-475.721,-481.84,442.298,497.078,365.41
1689.99,-337.128,-352.814,1143.98,-1076.96,-1027.12,964.489,1014.93,654.151
55.798,45.6235,42.5896,-19.4212,61.021,6.04591,-3.15045,-34.442,262.862
49.1217,46.1869,47.2431,-25.8448,67.4948,10.5518,-7.01535,-35.8922,256.738
56.6768,44.1655,44.4107,-18.6767,61.6873,5.16586,-2.88455,-29.5734,259.208
86.0863,18.721,47.3627,14.9537,36.0117,-24.8441,16.4714,40.3608,195.998
49.2144,47.3304,44.0287,-25.2648,65.5078,10.8405,-6.27848,-40.7869,260.604
49.434,47.331,44.7216,-25.8226,66.3278,10.9403,-6.3412,-40.3199,261.947
72.5075,25.5147,51.1711,1.71714,48.4982,-13.7012,7.28399,23.4957,206.032
80.864,20.4104,48.0819,10.1563,39.5651,-21.3289,13.6656,35.3074,197.843
64.9041,-17.2062,7.1883,24.3913,18.5459,-19.6989,47.3276,59.0182,102.732
857.136,-174.388,-163.931,574.409,-515.627,-511.855,478.752,531.334,354.194
